"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","CZE","Czechia","2017","2017",2947.2853,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","CZE","Czechia","2018","2018",4038.06999,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","FRA","France","2017","2017",167354.88506,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","FRA","France","2018","2018",169154.54477,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KHM","Cambodia","2010","2010",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KHM","Cambodia","2011","2011",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KHM","Cambodia","2012","2012",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KHM","Cambodia","2013","2013",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KHM","Cambodia","2014","2014",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2010","2010",173.33377,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2011","2011",245.39575,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2012","2012",222.25866,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2013","2013",256.62008,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2014","2014",191.70225,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2015","2015",297.54409,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2016","2016",237.69325,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2017","2017",192.7332,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2018","2018",223.07963,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LKA","Sri Lanka","2019","2019",243.81482,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","SYC","Seychelles","2016","2016",24.39811,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KOR","Republic of Korea","2016","2016",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KOR","Republic of Korea","2017","2017",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","KOR","Republic of Korea","2018","2018",,"n","Magnitude nil or negligible"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","JOR","Jordan","2016","2016",431.91882,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","JOR","Jordan","2017","2017",401.65554,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","JOR","Jordan","2018","2018",273.50332,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","JOR","Jordan","2019","2019",266.15713,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2010","2010",2035.07104,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2011","2011",2033.50005,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2012","2012",1724.71235,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2013","2013",2415.95795,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2014","2014",2654.74938,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2015","2015",2373.00342,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2016","2016",3386.75202,"‡","UIS Estimation"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AFG","Afghanistan","2017","2017",3322.79067,"‡","UIS Estimation"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","NAM","Namibia","2014","2014",76.19486,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2010","2010",15777.25497,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2011","2011",15574.25878,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2012","2012",15386.68876,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2013","2013",18588.95511,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2014","2014",19192.09817,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2015","2015",21589.04977,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2016","2016",27686.66897,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2017","2017",26106.49359,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","PAK","Pakistan","2019","2019",25222.22289,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2010","2010",341.93551,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2011","2011",343.8483,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2012","2012",323.24386,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2013","2013",329.88417,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2014","2014",325.11516,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2016","2016",285.67635,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2017","2017",272.21376,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2018","2018",221.95446,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","MDA","Republic of Moldova","2019","2019",340.32216,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2010","2010",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2012","2012",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2013","2013",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2014","2014",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2015","2015",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2016","2016",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2017","2017",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2018","2018",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","SLV","El Salvador","2019","2019",,"a","Category not applicable"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2010","2010",3883.87889,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2011","2011",3914.36619,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2012","2012",3865.35642,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2013","2013",3679.56619,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2014","2014",3701.66062,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2015","2015",3510.22481,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2016","2016",3536.04693,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2017","2017",3696.35524,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","SVN","Slovenia","2018","2018",3983.72911,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2010","2010",77.91615,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2011","2011",93.06807,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2012","2012",119.96045,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2013","2013",159.02531,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2014","2014",146.13377,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2015","2015",115.45458,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2016","2016",118.66586,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2017","2017",115.08902,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","LTU","Lithuania","2018","2018",118.96507,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","RWA","Rwanda","2010","2010",25.32855,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","RWA","Rwanda","2011","2011",39.10334,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","RWA","Rwanda","2012","2012",72.29744,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","RWA","Rwanda","2013","2013",86.42749,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","RWA","Rwanda","2015","2015",0.62457,"‡","UIS Estimation"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","RWA","Rwanda","2016","2016",5.17101,"‡","UIS Estimation"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","RWA","Rwanda","2018","2018",22.27531,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GRC","Greece","2015","2015",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GRC","Greece","2016","2016",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GRC","Greece","2017","2017",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","GRC","Greece","2018","2018",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","MOZ","Mozambique","2012","2012",104.45699,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","MOZ","Mozambique","2013","2013",120.47836,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ABW","Aruba","2010","2010",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ABW","Aruba","2011","2011",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ABW","Aruba","2012","2012",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ABW","Aruba","2013","2013",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ABW","Aruba","2014","2014",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ABW","Aruba","2015","2015",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","ABW","Aruba","2016","2016",,"a","Category not applicable"
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LAO","Lao People's Democratic Republic","2010","2010",86.07865,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LAO","Lao People's Democratic Republic","2011","2011",119.64437,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LAO","Lao People's Democratic Republic","2012","2012",103.79513,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LAO","Lao People's Democratic Republic","2013","2013",177.79163,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","LAO","Lao People's Democratic Republic","2014","2014",170.87238,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2010","2010",60.30118,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2011","2011",60.62273,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2012","2012",57.97048,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2014","2014",40.48195,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2015","2015",2972.29366,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2016","2016",73.58187,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2017","2017",3081.0592,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2018","2018",3211.90452,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","SRB","Serbia","2019","2019",60.46799,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","TUR","Turkey","2018","2018",34325.35526,,
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CPV","Cabo Verde","2011","2011",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CPV","Cabo Verde","2013","2013",,"a","Category not applicable"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CPV","Cabo Verde","2014","2014",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CPV","Cabo Verde","2015","2015",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CPV","Cabo Verde","2016","2016",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CPV","Cabo Verde","2017","2017",,"n","Magnitude nil or negligible"
"X_PPPCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant PPP$ (millions)","CPV","Cabo Verde","2019","2019",,"n","Magnitude nil or negligible"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ECU","Ecuador","2010","2010",7164.85649,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ECU","Ecuador","2011","2011",8104.89473,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ECU","Ecuador","2012","2012",8410.33239,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ECU","Ecuador","2013","2013",9513.68947,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ECU","Ecuador","2014","2014",10379.92454,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ECU","Ecuador","2015","2015",9872.16991,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ECU","Ecuador","2019","2019",8601.68003,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2010","2010",2380.04386,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2011","2011",2724.27251,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2012","2012",1992.88044,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2013","2013",2293.01751,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2014","2014",2023.9368,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2015","2015",1786.59878,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2016","2016",2102.45355,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2017","2017",2341.01396,,
"X_PPPCONST_5T8_FSGOV","Government expenditure on tertiary education, constant PPP$ (millions)","HUN","Hungary","2018","2018",2519.9783,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2010","2010",25463.44189,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2011","2011",25710.22932,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2012","2012",25367.34599,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2013","2013",25682.67075,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2014","2014",25388.81902,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2015","2015",25688.59583,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2016","2016",26310.26288,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2017","2017",26411.90594,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","AUT","Austria","2018","2018",26354.34498,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2010","2010",112371.04668,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2011","2011",107462.49469,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2012","2012",102747.80293,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2013","2013",103035.55557,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2014","2014",100982.3754,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2015","2015",102077.65048,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2016","2016",96853.56758,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2017","2017",104382.29975,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","ITA","Italy","2018","2018",110887.24029,,
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","LSO","Lesotho","2017","2017",478.55221,"‡","UIS Estimation"
"X_PPPCONST_FSGOV","Government expenditure on education, constant PPP$ (millions)","LSO","Lesotho","2018","2018",406.58272,,
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","CYP","Cyprus","2010","2010",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","CYP","Cyprus","2011","2011",,"n","Magnitude nil or negligible"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","CYP","Cyprus","2013","2013",,"a","Category not applicable"
"X_PPPCONST_UK_FSGOV","Government expenditure on education not specified by level, constant PPP$ (millions)","CYP","Cyprus","2014","2014",,"n","Magnitude nil or negligible"
